Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,has_person_status,inventor,29,0.449554367201426,29,0.5138888888888888,0.0,0.0,0.7720976,0.83118725,0.8005535,0.99926674,0.99926674,0.99926674
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.4658119658119657,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7616956,0.87652236,0.81508476
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7830137,0.8301707,0.8059029
instance of,person,will populate the ontology based on the text in the form of the module relations,"like: name record module:1. has_name(agent, name): has_name(lewis temple, 'lewis temple') 2. has_surname(agent, surname): has_surname(lewis temple, 'temple') 3. has_first_name(agent, first_name): has_first_name(lewis temple, 'lewis').occupation record module: 1. has_occupation(agent, occupation): has_occupation(lewis temple, 'maker of items used in whaling, blacksmith, abolitionist, and inventor').age record module: 1. has_age(agent, age): has_age(lewis temple, 53) 2. has_birthdate(agent, date_of_birth): has_birthdate(lewis temple, 'october 22, 1800') 3. has_deathdate(agent, date_of_death): has_deathdate(lewis temple, 'may 18, 1854'). person status record module: 1. has_person_status (agent, person_status): has_person_status(lewis temple, 'slave, abolitionist, inventor'). race record module: 1. has_race_or_color(agent, race_or_color): has_race_or_color(lewis temple, african-american). note: the information is based on the provided text. if you don't know the answer, just say that you don't know, don't try to make up an answer.",20,0.4954124579124579,1,0.5574749413521006,0.0801194772759015,0.0317401664845486,0.794208,0.8225239,0.808118,0.6884291,0.8665428,0.767285
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,lewis temple,32,0.537878787878788,22,0.5,0.0,0.0,0.7971932,0.83778274,0.81698424,0.7083313,0.8298483,0.76428986
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,temple,27,0.4924242424242424,33,0.4444444444444444,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9784161,0.9784161,0.9784161
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,lewis,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0,0.7667884,0.8280858,0.7962592,0.72216225,0.8958858,0.799698
instance of,person,has_occupation,occupation,24,0.3831168831168831,38,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99910057,0.99910057,0.99910057
instance of,person,has_occupation,maker of items used in whaling,24,0.3831168831168831,22,0.5166666666666666,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8046983,0.84751844,0.82555354
instance of,person,has_occupation,blacksmith,24,0.3831168831168831,12,0.4222222222222222,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8096889,0.9228319,0.862566
instance of,person,has_occupation,abolitionist,24,0.3831168831168831,22,0.5,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8224115,0.92838377,0.8721905
instance of,person,has_occupation,and inventor,24,0.3831168831168831,22,0.4166666666666667,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8558737,0.90624154,0.8803378
instance of,person,has_age,age,33,0.4559884559884559,22,0.5,0.0,0.0,0.8066352,0.84434843,0.82506114,0.99847496,0.99847496,0.99847496
instance of,person,has_age,53,33,0.4559884559884559,0,0.0,0.0,0.0,0.8066352,0.84434843,0.82506114,0.9992197,0.9992197,0.9992197
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.4957264957264957,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7665323,0.86474997,0.8126843
instance of,person,has_birthdate,october 22,33,0.5463869463869464,25,0.4888888888888889,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7731194,0.85015893,0.80981106
instance of,person,has_birthdate,1800,33,0.5463869463869464,0,0.0,0.0,0.0,0.79754794,0.8421512,0.8192429,0.9983125,0.9983125,0.9983125
instance of,person,has_deathdate,date_of_death,33,0.3904428904428904,21,0.4957264957264957,0.0,0.0,0.80097455,0.83004844,0.81525236,0.7698187,0.86639637,0.8152573
instance of,person,has_deathdate,may 18,33,0.3904428904428904,0,0.0,0.0,0.0,0.80097455,0.83004844,0.81525236,0.88298976,0.9346242,0.9080736
instance of,person,has_deathdate,1854,33,0.3904428904428904,0,0.0,0.0,0.0,0.80097455,0.83004844,0.81525236,0.8269918,0.91315967,0.86794233
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0,0.7720976,0.83118725,0.8005535,0.9992676,0.9992676,0.9992676
instance of,person,has_person_status,abolitionist,29,0.449554367201426,22,0.5,0.0,0.0,0.7720976,0.83118725,0.8005535,0.8224115,0.92838377,0.8721905
instance of,person,has_person_status,inventor,29,0.449554367201426,29,0.5138888888888888,0.0,0.0,0.7720976,0.83118725,0.8005535,0.99926674,0.99926674,0.99926674
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.4658119658119657,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7616956,0.87652236,0.81508476
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7830137,0.8301707,0.8059029
instance of,person,will populate the ontology based on the text in the form of the module relations,"like: name record module:1. has_name(agent, name): has_name(lewis temple, 'lewis temple') 2. has_surname(agent, surname): has_surname(lewis temple, 'temple') 3. has_first_name(agent, first_name): has_first_name(lewis temple, 'lewis').occupation record module: 1. has_occupation(agent, occupation): has_occupation(lewis temple, 'maker of items used in whaling, blacksmith, abolitionist, and inventor').age record module: 1. has_age(agent, age): has_age(lewis temple, 53) 2. has_birthdate(agent, date_of_birth): has_birthdate(lewis temple, 'october 22, 1800') 3. has_deathdate(agent, date_of_death): has_deathdate(lewis temple, 'may 18, 1854'). person status record module: 1. has_person_status (agent, person_status): has_person_status(lewis temple, 'slave, abolitionist, inventor'). race record module: 1. has_race_or_color(agent, race_or_color): has_race_or_color(lewis temple, african-american). note: the information is based on the provided text. if you don't know the answer, just say that you don't know, don't try to make up an answer. i hope this is correct. please let me know if i made any mistakes.",20,0.4954124579124579,1,0.5573589820659253,0.0801194772759015,0.0311267795112632,0.794208,0.8225239,0.808118,0.68895584,0.86513704,0.7670599
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0,0.8119032,0.8100479,0.81097454,0.99486166,0.99486166,0.99486166
hassex,male,has_name,lewis temple,57,0.8055555555555556,38,0.5555555555555555,0.0,0.0,0.8119032,0.8100479,0.81097454,0.706032,0.8185221,0.75812703
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0,0.7846592,0.8041922,0.79430556,0.9928791,0.9928791,0.9928791
hassex,male,has_surname,temple,59,0.6767676767676768,60,0.6388888888888888,0.0,0.0,0.7846592,0.8041922,0.79430556,0.9867417,0.9867417,0.9867417
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0,0.787099,0.80721545,0.79703027,0.7770004,0.8458032,0.8099432
hassex,male,has_first_name,lewis,50,0.6507936507936508,44,0.0,0.0,0.0,0.787099,0.80721545,0.79703027,0.7174302,0.8820615,0.7912733
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0,0.8248078,0.8327483,0.828759,0.9927773,0.9927773,0.9927773
hassex,male,has_occupation,maker of items used in whaling,30,0.5714285714285715,18,0.6166666666666667,0.0,0.0,0.8248078,0.8327483,0.828759,0.8041304,0.8369719,0.82022244
hassex,male,has_occupation,blacksmith,30,0.5714285714285715,14,0.3999999999999999,0.0,0.0,0.8248078,0.8327483,0.828759,0.8037766,0.90929264,0.853285
hassex,male,has_occupation,abolitionist,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0,0.8248078,0.8327483,0.828759,0.8131037,0.91669095,0.8617957
hassex,male,has_occupation,and inventor,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0,0.8248078,0.8327483,0.828759,0.8503711,0.8971947,0.87315565
hassex,male,has_age,age,62,0.8222222222222222,57,0.7222222222222222,0.0,0.0,0.82522553,0.8178067,0.8214993,0.9927898,0.9927898,0.9927898
hassex,male,has_age,53,62,0.8222222222222222,0,0.0,0.0,0.0,0.82522553,0.8178067,0.8214993,0.99232876,0.99232876,0.99232876
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0,0.8188765,0.81331307,0.81608534,0.7625056,0.8535636,0.8054692
hassex,male,has_birthdate,october 22,42,0.576923076923077,14,0.45,0.0,0.0,0.8188765,0.81331307,0.81608534,0.7668695,0.841152,0.802295
hassex,male,has_birthdate,1800,42,0.576923076923077,0,0.0,0.0,0.0,0.8188765,0.81331307,0.81608534,0.99549717,0.99549717,0.99549717
hassex,male,has_deathdate,date_of_death,42,0.6581196581196581,24,0.5512820512820512,0.0,0.0,0.8210093,0.8061865,0.8135303,0.7663152,0.85657024,0.808933
hassex,male,has_deathdate,may 18,42,0.6581196581196581,40,0.611111111111111,0.0,0.0,0.8210093,0.8061865,0.8135303,0.8734823,0.92664593,0.89927906
hassex,male,has_deathdate,1854,42,0.6581196581196581,0,0.0,0.0,0.0,0.8210093,0.8061865,0.8135303,0.8195303,0.90386695,0.8596351
hassex,male,has_person_status,slave,35,0.642483660130719,44,0.6722222222222222,0.0,0.0,0.7877931,0.8077082,0.7976264,0.9925768,0.9925768,0.9925768
hassex,male,has_person_status,abolitionist,35,0.642483660130719,25,0.5555555555555555,0.0,0.0,0.7877931,0.8077082,0.7976264,0.8131037,0.91669095,0.8617957
hassex,male,has_person_status,inventor,35,0.642483660130719,17,0.4583333333333333,0.0,0.0,0.7877931,0.8077082,0.7976264,0.99180114,0.99180114,0.99180114
hassex,male,has_race_or_color,race_or_color,35,0.6339869281045751,24,0.5512820512820512,0.0,0.0,0.7780295,0.8127992,0.79503447,0.7569782,0.8636652,0.80681014
hassex,male,has_race_or_color,african-american,35,0.6339869281045751,20,0.5416666666666666,0.0,0.0,0.7780295,0.8127992,0.79503447,0.77973175,0.8223082,0.8004542
hassex,male,will populate the ontology based on the text in the form of the module relations,"like: name record module:1. has_name(agent, name): has_name(lewis temple, 'lewis temple') 2. has_surname(agent, surname): has_surname(lewis temple, 'temple') 3. has_first_name(agent, first_name): has_first_name(lewis temple, 'lewis').occupation record module: 1. has_occupation(agent, occupation): has_occupation(lewis temple, 'maker of items used in whaling, blacksmith, abolitionist, and inventor').age record module: 1. has_age(agent, age): has_age(lewis temple, 53) 2. has_birthdate(agent, date_of_birth): has_birthdate(lewis temple, 'october 22, 1800') 3. has_deathdate(agent, date_of_death): has_deathdate(lewis temple, 'may 18, 1854'). person status record module: 1. has_person_status (agent, person_status): has_person_status(lewis temple, 'slave, abolitionist, inventor'). race record module: 1. has_race_or_color(agent, race_or_color): has_race_or_color(lewis temple, african-american). note: the information is based on the provided text. if you don't know the answer, just say that you don't know, don't try to make up an answer.",12,0.4986111111111111,1,0.5012795905310301,0.0,0.0,0.80223215,0.8096201,0.80590916,0.6891971,0.86089563,0.7655372
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0,0.8119032,0.8100479,0.81097454,0.99486166,0.99486166,0.99486166
hassex,male,has_name,lewis temple,57,0.8055555555555556,38,0.5555555555555555,0.0,0.0,0.8119032,0.8100479,0.81097454,0.706032,0.8185221,0.75812703
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0,0.7846592,0.8041922,0.79430556,0.9928791,0.9928791,0.9928791
hassex,male,has_surname,temple,59,0.6767676767676768,60,0.6388888888888888,0.0,0.0,0.7846592,0.8041922,0.79430556,0.9867417,0.9867417,0.9867417
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0,0.787099,0.80721545,0.79703027,0.7770004,0.8458032,0.8099432
hassex,male,has_first_name,lewis,50,0.6507936507936508,44,0.0,0.0,0.0,0.787099,0.80721545,0.79703027,0.7174302,0.8820615,0.7912733
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0,0.8248078,0.8327483,0.828759,0.9927773,0.9927773,0.9927773
hassex,male,has_occupation,maker of items used in whaling,30,0.5714285714285715,18,0.6166666666666667,0.0,0.0,0.8248078,0.8327483,0.828759,0.8041304,0.8369719,0.82022244
hassex,male,has_occupation,blacksmith,30,0.5714285714285715,14,0.3999999999999999,0.0,0.0,0.8248078,0.8327483,0.828759,0.8037766,0.90929264,0.853285
hassex,male,has_occupation,abolitionist,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0,0.8248078,0.8327483,0.828759,0.8131037,0.91669095,0.8617957
hassex,male,has_occupation,and inventor,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0,0.8248078,0.8327483,0.828759,0.8503711,0.8971947,0.87315565
hassex,male,has_age,age,62,0.8222222222222222,57,0.7222222222222222,0.0,0.0,0.82522553,0.8178067,0.8214993,0.9927898,0.9927898,0.9927898
hassex,male,has_age,53,62,0.8222222222222222,0,0.0,0.0,0.0,0.82522553,0.8178067,0.8214993,0.99232876,0.99232876,0.99232876
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0,0.8188765,0.81331307,0.81608534,0.7625056,0.8535636,0.8054692
hassex,male,has_birthdate,october 22,42,0.576923076923077,14,0.45,0.0,0.0,0.8188765,0.81331307,0.81608534,0.7668695,0.841152,0.802295
hassex,male,has_birthdate,1800,42,0.576923076923077,0,0.0,0.0,0.0,0.8188765,0.81331307,0.81608534,0.99549717,0.99549717,0.99549717
hassex,male,has_deathdate,date_of_death,42,0.6581196581196581,24,0.5512820512820512,0.0,0.0,0.8210093,0.8061865,0.8135303,0.7663152,0.85657024,0.808933
hassex,male,has_deathdate,may 18,42,0.6581196581196581,40,0.611111111111111,0.0,0.0,0.8210093,0.8061865,0.8135303,0.8734823,0.92664593,0.89927906
hassex,male,has_deathdate,1854,42,0.6581196581196581,0,0.0,0.0,0.0,0.8210093,0.8061865,0.8135303,0.8195303,0.90386695,0.8596351
hassex,male,has_person_status,slave,35,0.642483660130719,44,0.6722222222222222,0.0,0.0,0.7877931,0.8077082,0.7976264,0.9925768,0.9925768,0.9925768
hassex,male,has_person_status,abolitionist,35,0.642483660130719,25,0.5555555555555555,0.0,0.0,0.7877931,0.8077082,0.7976264,0.8131037,0.91669095,0.8617957
hassex,male,has_person_status,inventor,35,0.642483660130719,17,0.4583333333333333,0.0,0.0,0.7877931,0.8077082,0.7976264,0.99180114,0.99180114,0.99180114
hassex,male,has_race_or_color,race_or_color,35,0.6339869281045751,24,0.5512820512820512,0.0,0.0,0.7780295,0.8127992,0.79503447,0.7569782,0.8636652,0.80681014
hassex,male,has_race_or_color,african-american,35,0.6339869281045751,20,0.5416666666666666,0.0,0.0,0.7780295,0.8127992,0.79503447,0.77973175,0.8223082,0.8004542
hassex,male,will populate the ontology based on the text in the form of the module relations,"like: name record module:1. has_name(agent, name): has_name(lewis temple, 'lewis temple') 2. has_surname(agent, surname): has_surname(lewis temple, 'temple') 3. has_first_name(agent, first_name): has_first_name(lewis temple, 'lewis').occupation record module: 1. has_occupation(agent, occupation): has_occupation(lewis temple, 'maker of items used in whaling, blacksmith, abolitionist, and inventor').age record module: 1. has_age(agent, age): has_age(lewis temple, 53) 2. has_birthdate(agent, date_of_birth): has_birthdate(lewis temple, 'october 22, 1800') 3. has_deathdate(agent, date_of_death): has_deathdate(lewis temple, 'may 18, 1854'). person status record module: 1. has_person_status (agent, person_status): has_person_status(lewis temple, 'slave, abolitionist, inventor'). race record module: 1. has_race_or_color(agent, race_or_color): has_race_or_color(lewis temple, african-american). note: the information is based on the provided text. if you don't know the answer, just say that you don't know, don't try to make up an answer. i hope this is correct. please let me know if i made any mistakes.",12,0.4986111111111111,1,0.5012022843402465,0.0,0.0,0.80223215,0.8096201,0.80590916,0.68972236,0.85905737,0.7651328
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0,0.82410645,0.83586246,0.8299429,0.9897588,0.9897588,0.9897588
hasparticipantrole,child,has_name,lewis temple,38,0.5675925925925926,24,0.3555555555555555,0.0,0.0,0.82410645,0.83586246,0.8299429,0.70877266,0.830129,0.76466584
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0,0.8059977,0.83134675,0.818476,0.99922776,0.99922776,0.99922776
hasparticipantrole,child,has_surname,temple,41,0.6274651274651274,18,0.4555555555555555,0.0,0.0,0.8059977,0.83134675,0.818476,0.97896254,0.97896254,0.97896254
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.4333333333333333,0.0,0.0,0.8008205,0.8335874,0.81687546,0.78130084,0.85800225,0.81785715
hasparticipantrole,child,has_first_name,lewis,44,0.6772486772486772,20,0.4666666666666666,0.0,0.0,0.8008205,0.8335874,0.81687546,0.7223133,0.89639366,0.7999929
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.4333333333333333,0.0,0.0,0.85138714,0.8635205,0.8574109,0.99899757,0.99899757,0.99899757
hasparticipantrole,child,has_occupation,maker of items used in whaling,50,0.6566137566137565,11,0.4888888888888889,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8060082,0.847843,0.82639647
hasparticipantrole,child,has_occupation,blacksmith,50,0.6566137566137565,27,0.3666666666666667,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8106039,0.923398,0.86333245
hasparticipantrole,child,has_occupation,abolitionist,50,0.6566137566137565,12,0.3555555555555555,0.0,0.0,0.85138714,0.8635205,0.8574109,0.82294863,0.9290241,0.8727752
hasparticipantrole,child,has_occupation,and inventor,50,0.6566137566137565,12,0.3555555555555555,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8563863,0.90685004,0.8808961
hasparticipantrole,child,has_age,age,40,0.5978835978835978,0,0.0,0.0,0.0,0.8458951,0.8444935,0.8451937,0.998739,0.998739,0.998739
hasparticipantrole,child,has_age,53,40,0.5978835978835978,0,0.0,0.0,0.0,0.8458951,0.8444935,0.8451937,0.999388,0.999388,0.999388
hasparticipantrole,child,has_birthdate,date_of_birth,52,0.6937321937321936,11,0.4256410256410256,0.0,0.0,0.83546257,0.84068596,0.8380661,0.76719123,0.86539996,0.8133417
hasparticipantrole,child,has_birthdate,october 22,52,0.6937321937321936,13,0.4333333333333333,0.0,0.0,0.83546257,0.84068596,0.8380661,0.7732517,0.8498574,0.80974674
hasparticipantrole,child,has_birthdate,1800,52,0.6937321937321936,0,0.0,0.0,0.0,0.83546257,0.84068596,0.8380661,0.9986976,0.9986976,0.9986976
hasparticipantrole,child,has_deathdate,date_of_death,52,0.6866096866096866,11,0.4256410256410256,0.0,0.0,0.843836,0.8368999,0.84035367,0.77093387,0.86731696,0.81629014
hasparticipantrole,child,has_deathdate,may 18,52,0.6866096866096866,0,0.0,0.0,0.0,0.843836,0.8368999,0.84035367,0.88334453,0.93496406,0.9084216
hasparticipantrole,child,has_deathdate,1854,52,0.6866096866096866,0,0.0,0.0,0.0,0.843836,0.8368999,0.84035367,0.8272376,0.91378474,0.86836004
hasparticipantrole,child,has_person_status,slave,46,0.6479302832244008,20,0.0,0.0,0.0,0.81484616,0.8375993,0.8260661,0.9989003,0.9989003,0.9989003
hasparticipantrole,child,has_person_status,abolitionist,46,0.6479302832244008,12,0.3555555555555555,0.0,0.0,0.81484616,0.8375993,0.8260661,0.82294863,0.9290241,0.8727752
hasparticipantrole,child,has_person_status,inventor,46,0.6479302832244008,15,0.4416666666666666,0.0,0.0,0.81484616,0.8375993,0.8260661,0.9989086,0.9989086,0.9989086
hasparticipantrole,child,has_race_or_color,race_or_color,46,0.60239651416122,22,0.4256410256410256,0.0,0.0,0.7967845,0.84058464,0.8180987,0.7625047,0.8771059,0.8158003
hasparticipantrole,child,has_race_or_color,african-american,46,0.60239651416122,19,0.3416666666666666,0.0,0.0,0.7967845,0.84058464,0.8180987,0.78411525,0.83044016,0.80661315
hasparticipantrole,child,will populate the ontology based on the text in the form of the module relations,"like: name record module:1. has_name(agent, name): has_name(lewis temple, 'lewis temple') 2. has_surname(agent, surname): has_surname(lewis temple, 'temple') 3. has_first_name(agent, first_name): has_first_name(lewis temple, 'lewis').occupation record module: 1. has_occupation(agent, occupation): has_occupation(lewis temple, 'maker of items used in whaling, blacksmith, abolitionist, and inventor').age record module: 1. has_age(agent, age): has_age(lewis temple, 53) 2. has_birthdate(agent, date_of_birth): has_birthdate(lewis temple, 'october 22, 1800') 3. has_deathdate(agent, date_of_death): has_deathdate(lewis temple, 'may 18, 1854'). person status record module: 1. has_person_status (agent, person_status): has_person_status(lewis temple, 'slave, abolitionist, inventor'). race record module: 1. has_race_or_color(agent, race_or_color): has_race_or_color(lewis temple, african-american). note: the information is based on the provided text. if you don't know the answer, just say that you don't know, don't try to make up an answer.",22,0.4842592592592592,1,0.534932821497121,0.0,0.0,0.8155962,0.8347196,0.8250472,0.689546,0.86664546,0.7680185
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0,0.82410645,0.83586246,0.8299429,0.9897588,0.9897588,0.9897588
hasparticipantrole,child,has_name,lewis temple,38,0.5675925925925926,24,0.3555555555555555,0.0,0.0,0.82410645,0.83586246,0.8299429,0.70877266,0.830129,0.76466584
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0,0.8059977,0.83134675,0.818476,0.99922776,0.99922776,0.99922776
hasparticipantrole,child,has_surname,temple,41,0.6274651274651274,18,0.4555555555555555,0.0,0.0,0.8059977,0.83134675,0.818476,0.97896254,0.97896254,0.97896254
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.4333333333333333,0.0,0.0,0.8008205,0.8335874,0.81687546,0.78130084,0.85800225,0.81785715
hasparticipantrole,child,has_first_name,lewis,44,0.6772486772486772,20,0.4666666666666666,0.0,0.0,0.8008205,0.8335874,0.81687546,0.7223133,0.89639366,0.7999929
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.4333333333333333,0.0,0.0,0.85138714,0.8635205,0.8574109,0.99899757,0.99899757,0.99899757
hasparticipantrole,child,has_occupation,maker of items used in whaling,50,0.6566137566137565,11,0.4888888888888889,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8060082,0.847843,0.82639647
hasparticipantrole,child,has_occupation,blacksmith,50,0.6566137566137565,27,0.3666666666666667,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8106039,0.923398,0.86333245
hasparticipantrole,child,has_occupation,abolitionist,50,0.6566137566137565,12,0.3555555555555555,0.0,0.0,0.85138714,0.8635205,0.8574109,0.82294863,0.9290241,0.8727752
hasparticipantrole,child,has_occupation,and inventor,50,0.6566137566137565,12,0.3555555555555555,0.0,0.0,0.85138714,0.8635205,0.8574109,0.8563863,0.90685004,0.8808961
hasparticipantrole,child,has_age,age,40,0.5978835978835978,0,0.0,0.0,0.0,0.8458951,0.8444935,0.8451937,0.998739,0.998739,0.998739
hasparticipantrole,child,has_age,53,40,0.5978835978835978,0,0.0,0.0,0.0,0.8458951,0.8444935,0.8451937,0.999388,0.999388,0.999388
hasparticipantrole,child,has_birthdate,date_of_birth,52,0.6937321937321936,11,0.4256410256410256,0.0,0.0,0.83546257,0.84068596,0.8380661,0.76719123,0.86539996,0.8133417
hasparticipantrole,child,has_birthdate,october 22,52,0.6937321937321936,13,0.4333333333333333,0.0,0.0,0.83546257,0.84068596,0.8380661,0.7732517,0.8498574,0.80974674
