Name,WD_Description,WD_Qid,WD_Url,E_Description,E_Qid,E_Url,E_Identifier
Bethany Veney,American writer,Q4897788,http://www.wikidata.org/entity/Q4897788,"Enslaved. Free before 13th Amendment. Enslaved in several different families, Veney finally gained her freedom in 1858 and after the Civil War returned to find other family members. She dictated an autobiography at the age of 74.",Q491587,https://lod.enslaved.org/wiki/Q491587,HC-PER-38092
Charlotte Dupuy,African American plaintiff in freedom suit,Q5085922,http://www.wikidata.org/entity/Q5085922,Enslaved. Also known as Lotty.,Q490720,https://lod.enslaved.org/wiki/Q490720,HC-PER-36746
David George,American preacher,Q5234079,http://www.wikidata.org/entity/Q5234079,"Born Enslaved. Free before 13th Amendment. Minister at one of the first black Baptist churches in the U.S., George continued his preaching in Nova Scotia after the Revolutionary War but encountered racism there as well and in 1792 led almost 1,200 black Baptists to Sierra Leone .",Q490821,https://lod.enslaved.org/wiki/Q490821,HC-PER-34408
George Moses Horton,American writer,Q5542654,http://www.wikidata.org/entity/Q5542654,Born Enslaved. Enslaved North Carolinian. The first African American poet whose work centers on the struggle for freedom .,Q490952,https://lod.enslaved.org/wiki/Q490952,HC-PER-34465
Mary Fields,first African-American female Star Route stagecoach delivery driver the United States,Q6003189,http://www.wikidata.org/entity/Q6003189,"Born Enslaved. First African American woman to drive a coach for the postal service. Became a business owner at age 70. A frontierswoman who drank, smoke, and got in a shootout.",Q490774,https://lod.enslaved.org/wiki/Q490774,HC-PER-36807
Jermain Wesley Loguen,American bishop,Q6182278,http://www.wikidata.org/entity/Q6182278,"Enslaved. Free before 13th Amendment. A school founder who was ordained by the AMEZ Church in 1842 and became a bishop in 1868, Loguen was also a member of the Radical Abolition Society who by his own account helped over 1,500 runaway slaves. .",Q491095,https://lod.enslaved.org/wiki/Q491095,HC-PER-34553
John Jea,American poet,Q6241732,http://www.wikidata.org/entity/Q6241732,"Enslaved. Free before 13th Amendment. The author of a significant autobiography, Jea toured, preached, and held revivals in the U.S., while at sea, during multiple European tours, and in the West Indies.",Q490991,https://lod.enslaved.org/wiki/Q490991,HC-PER-35768
Jordan Winston Early,American slave,Q6277136,http://www.wikidata.org/entity/Q6277136,"Born Enslaved. Free before 13th Amendment. An AME minister who undertook dangerous missionary work in the South, converted hundreds of people, and became presiding elder in parts of Tennessee.",Q490753,https://lod.enslaved.org/wiki/Q490753,HC-PER-35611
Kate Drumgoold,formerly enslaved African-American memoirist,Q6375472,http://www.wikidata.org/entity/Q6375472,"Enslaved. Autobiography is notable for flattering description of white employers, and for its description of her life moving between the South and North.",Q490728,https://lod.enslaved.org/wiki/Q490728,HC-PER-36449
Lewis Hayden,"American abolitionist, lecturer, businessman and politician (1811-1889)",Q6536673,http://www.wikidata.org/entity/Q6536673,"Enslaved. Free before 13th Amendment. A traveling lecturer for the American Anti-Slavery Society who ran a successful clothing store in Boston, helped fugitive slaves, lobbied for the creation of a black regiment during the Civil War, and was elected in 1873 to the Massachusetts senate.",Q490895,https://lod.enslaved.org/wiki/Q490895,HC-PER-34914
Lott Cary,American slave who helped found Liberia,Q6684875,http://www.wikidata.org/entity/Q6684875,"Enslaved. Free before 13th Amendment. A Baptist preacher who served as a missionary in Liberia and in 1828 was appointed acting governor of the more than 1,200 settlers.",Q490588,https://lod.enslaved.org/wiki/Q490588,HC-PER-34291
Moses Roper,American writer,Q6915927,http://www.wikidata.org/entity/Q6915927,"Enslaved. Free before 13th Amendment. He escaped to the north via the ""maritime Underground Railroad"" and then traveled to England in 1835, where he became a lecturer and author.",Q491388,https://lod.enslaved.org/wiki/Q491388,HC-PER-34683
Patrick Francis Healy,American Jesuit educator (1834-1910),Q7146522,http://www.wikidata.org/entity/Q7146522,"Enslaved. Free before 13th Amendment. A Roman Catholic priest who, upon finishing his studies at Catholic University of Louvain in Belgium in  26 July 1865, apparently became the first African American to earn a PhD. He was also the first African American Jesuit and served as the 29th president of Georgetown.",Q490877,https://lod.enslaved.org/wiki/Q490877,HC-PER-34445
Polly Berry,American slave,Q7225776,http://www.wikidata.org/entity/Q7225776,"Enslaved. Free before 13th Amendment.  Her daughter Lucy Ann Delany wrote a memoir about her. From Darkness Cometh Light; or Struggles for Freedom (1891),  https://docsouth.unc.edu/neh/delaney/menu.html .",Q490448,https://lod.enslaved.org/wiki/Q490448,HC-PER-39701
Prince Estabrook,Massachusetts militiaman,Q7243971,http://www.wikidata.org/entity/Q7243971,Enslaved. Free before 13th Amendment. Estabrook participated in the Battle of Lexington and is the first known African American who fought in the War of Independence.,Q490761,https://lod.enslaved.org/wiki/Q490761,HC-PER-36452
Prince Whipple,American slave,Q7244270,http://www.wikidata.org/entity/Q7244270,"Enslaved. Free before 13th Amendment. After being enslaved and transported to North America, Prince petitioned unsuccessfully in 1779 to end slavery and then participated in the American Revolution. Some credited him with crossing the Delaware River with Washington in December 1776, though this is unsubstantiated.",Q491624,https://lod.enslaved.org/wiki/Q491624,HC-PER-34782
Scipio Moorhead,American artist,Q7434016,http://www.wikidata.org/entity/Q7434016,"Enslaved. One of the first African American painters, Moorhead is best known for his engraving of Phillis Wheatley. Also a poet.",Q491193,https://lod.enslaved.org/wiki/Q491193,HC-PER-37545
Seymour Burr,American slave,Q7459139,http://www.wikidata.org/entity/Q7459139,"Enslaved. Free before 13th Amendment. Possibly born in Africa and later enslaved by the family of Aaron Burr's brother, Burr earned his freedom by fighting in the Revolutionary War.",Q490536,https://lod.enslaved.org/wiki/Q490536,HC-PER-77918
Shadrach Minkins,American enslaved person,Q7460863,http://www.wikidata.org/entity/Q7460863,Enslaved. Free before 13th Amendment. Minkins was the central figure in one of the  most famous Fugitive Slave Law cases in Boston.,Q491188,https://lod.enslaved.org/wiki/Q491188,HC-PER-35840
Solomon Bayley,American writer,Q7558567,http://www.wikidata.org/entity/Q7558567,"Born Enslaved. Free before 13th Amendment. A former slave and abolitionist speaker whose experiences were recorded in Narrative of Some Remarkable Incidents in the Life of Solomon Bayley, Formerly a Slave, in the State of Delaware, North America, Bayley later immigrated to Liberia with his wife.",Q490443,https://lod.enslaved.org/wiki/Q490443,HC-PER-34225
Thomas Fuller,American mental calculator,Q7789846,http://www.wikidata.org/entity/Q7789846,Enslaved. A prodigy at mental math.,Q490828,https://lod.enslaved.org/wiki/Q490828,HC-PER-34897
Thomas Sims,American slave,Q7793983,http://www.wikidata.org/entity/Q7793983,Enslaved. Sims became widely known during an unsuccessful effort by abolitionists to prevent his re-enslavement under the Fugitive Slave Act. After the war he worked as a mason and held various patronage jobs.,Q491415,https://lod.enslaved.org/wiki/Q491415,HC-PER-38518
Venture Smith,Colonial American enslaved African and author,Q7920418,http://www.wikidata.org/entity/Q7920418,"Enslaved. Free before 13th Amendment. Captured in Guinea and forced to be a servant in raids on other African nations, and at age eight was transported to Rhode Island and enslaved there. After gaining his freedom he wrote an important autobiography and acquired land.",Q491453,https://lod.enslaved.org/wiki/Q491453,HC-PER-35484
William Harvey Carney,United States Army Medal of Honor recipient,Q8010989,http://www.wikidata.org/entity/Q8010989,Free before 13th Amendment.,Q490569,https://lod.enslaved.org/wiki/Q490569,HC-PER-35042
William Henry Singleton,American missionary,Q8012156,http://www.wikidata.org/entity/Q8012156,"Enslaved. A sergeant in the First North Carolina Colored Regiment (later called the Thirty-fifth Regiment, U.S. Colored Troops) who became a coachman and traveling Methodist minister after the war.",Q491431,https://lod.enslaved.org/wiki/Q491431,HC-PER-35948
Josiah Henson,"Author, abolitionist, and minister. Born into slavery, in Port Tobacco, Charles Co., Maryland, he escaped to Upper Canada (now Ontario) in 1830.",Q9013442,http://www.wikidata.org/entity/Q9013442,"Born Enslaved. Free before 13th Amendment. An escaped slave who became a pastor, led a community of escaped slaves, wrote an autobiography and possibly was the basis for the character of Uncle Tom in Harriet Beecher Stowe's famous novel.",Q490945,https://lod.enslaved.org/wiki/Q490945,HC-PER-34450
Mahommah Gardo Baquaqua,writer and escaped slave,Q9648111,http://www.wikidata.org/entity/Q9648111,"Enslaved. Free before 13th Amendment. Born in a Muslim merchant family in West Africa, he escaped from slavery in Brazil and later became an antislavery lecturer and author of an autobiography with an important account of the Middle Passage.",Q490433,https://lod.enslaved.org/wiki/Q490433,HC-PER-36138
Madison Hemings,"American freed slave, son of Thomas Jefferson and Sally Hemings (1805-1877)",Q11239932,http://www.wikidata.org/entity/Q11239932,,Q1052317,https://lod.enslaved.org/wiki/Q1052317,LVA-PER-ENS.1082990._0006_0001_0001-0010.MadisonHemings.00644
Harriet Powers,American Quilter (1837–1910),Q13560700,http://www.wikidata.org/entity/Q13560700,Born Enslaved. Made narrative quilts with Christian themes.,Q491299,https://lod.enslaved.org/wiki/Q491299,HC-PER-37678
Moses Grandy,"African American author, abolitionist, and slave",Q15485088,http://www.wikidata.org/entity/Q15485088,Enslaved. Free before 13th Amendment. Experienced many family separations while enslaved. Later dictated his narrative to raise funds for his family's freedom.,Q490849,https://lod.enslaved.org/wiki/Q490849,HC-PER-35670
Mary Black,slave in the household of Nathanial Putnam,Q20810508,http://www.wikidata.org/entity/Q20810508,"""MARY BLACK was indicted for feloniously stealing . . . """,Q495541,https://lod.enslaved.org/wiki/Q495541,BLBJ-PER-00250
Onesimus,African man enslaved in Boston,Q22073865,http://www.wikidata.org/entity/Q22073865,"Enslaved. Free before 13th Amendment.Onesimus taught his former owner about a smallpox inoculation technique developed in Africa, and in light of the latter's promotion 600 Bostonians were inoculated.",Q491258,https://lod.enslaved.org/wiki/Q491258,HC-PER-34621
William Grimes,American publisher,Q22338544,http://www.wikidata.org/entity/Q22338544,"Born Enslaved. Free before 13th Amendment. After being enslaved by ten owners, Grimes escaped and became a barber in New Haven, Connecticut, moving several times to avoid re-enslavement.",Q490861,https://lod.enslaved.org/wiki/Q490861,HC-PER-34422
