Name	Status	URL	QID	Name	Identifier
Harriet_Jacobs.txt	x	https://lod.enslaved.org/wiki/Q490972	Q490972	Harriet Ann Jacobs	HC-PER-34481
Harriet_Powers.txt	x	https://lod.enslaved.org/wiki/Q491299	Q491299	Harriet Powers	HC-PER-37678
Harriet_Tubman.txt	x	https://lod.enslaved.org/wiki/Q491539	Q491539	Harriet Ross Tubman	HC-PER-34751
Harry_Washington.txt	x	https://lod.enslaved.org/wiki/Q491594	Q491594	Harry Washington	HC-PER-36591
Henry_Bibb.txt	x	https://lod.enslaved.org/wiki/Q490462	Q490462	Henry Walton Bibb	HC-PER-34239
Henry_Box_Brown.txt	x	https://lod.enslaved.org/wiki/Q490515	Q490515	Henry Box Brown	HC-PER-34263
Henry_Highland_Garnet.txt	x	https://lod.enslaved.org/wiki/Q490831	Q490831	Henry Highland Garnet	HC-PER-34403
Jane_Johnson_(slave).txt	c	https://lod.enslaved.org/wiki/Q491028	Q491028	Jane Johnson Tenison	LBS-PER-24102
Jared_Maurice_Arter.txt	x	https://lod.enslaved.org/wiki/Q490396	Q490396	Jared Arter	HC-PER-35445
Jermain_Wesley_Loguen.txt	x	https://lod.enslaved.org/wiki/Q491095	Q491095	Jermain Wesley Loguen	HC-PER-34553
John_Jea.txt	x	https://lod.enslaved.org/wiki/Q490991	Q490991	John Jea	HC-PER-35768
Jordan_Winston_Early.txt	x	https://lod.enslaved.org/wiki/Q490753	Q490753	Jordan Winston Early	HC-PER-35611
Josiah_Henson.txt	x	https://lod.enslaved.org/wiki/Q490945	Q490945	Josiah Henson	HC-PER-34450
Jupiter_Hammon.txt	x	https://lod.enslaved.org/wiki/Q490893	Q490893	Jupiter Hammon	HC-PER-34432
Kate_Drumgoold.txt	x	https://lod.enslaved.org/wiki/Q490728	Q490728	Kate Drumgoold	HC-PER-36449
Leonard_Black.txt	x	https://lod.enslaved.org/wiki/Q490452	Q490452	Leonard Black	HC-PER-35464
Lewis_Hayden.txt	x	https://lod.enslaved.org/wiki/Q490895	Q490895	Lewis Hayden	HC-PER-34914
Lott_Cary.txt	x	https://lod.enslaved.org/wiki/Q490588	Q490588	Lott Cary	HC-PER-34291
Madison_Hemings.txt	x	https://lod.enslaved.org/wiki/Q1052317	Q1052317	Madison Hemings	LVA-PER-ENS.1082990._0006_0001_0001-0010.MadisonHemings.00644
Mahommah_Gardo_Baquaqua.txt	x	https://lod.enslaved.org/wiki/Q490433	Q490433	Mahommah Gardo Baquaqua	HC-PER-36138
Mary_Black_(Salem_witch_trials).txt	x	https://lod.enslaved.org/wiki/Q495541	Q495541	Mary Black	BLBJ-PER-00250
Mary_Fields.txt	c	https://lod.enslaved.org/wiki/Q490774	Q490774	Mary Fields	HC-PER-36807
Moses_Grandy.txt	x	https://lod.enslaved.org/wiki/Q490849	Q490849	Moses Grandy	HC-PER-35670
Moses_Roper.txt	x	https://lod.enslaved.org/wiki/Q491388	Q491388	Moses Roper	HC-PER-34683
Olaudah_Equiano.txt	x	https://lod.enslaved.org/wiki/Q490756	Q490756	Olaudah Equiano	HC-PER-34374
Onesimus_(Bostonian).txt	x	https://lod.enslaved.org/wiki/Q491258	Q491258	Onesimus	HC-PER-34621
Patrick_Francis_Healy.txt	x	https://lod.enslaved.org/wiki/Q490877	Q490877	Patrick Francis Healy	HC-PER-34445
Pierre_Toussaint.txt	x	https://lod.enslaved.org/wiki/Q491519	Q491519	Pierre Toussaint	HC-PER-35004
Polly_Berry.txt	x	https://lod.enslaved.org/wiki/Q490448	Q490448	Polly Berry	HC-PER-39701
Prince_Estabrook.txt	x	https://lod.enslaved.org/wiki/Q490761	Q490761	Prince Estabrook	HC-PER-36452
Prince_Whipple.txt	x	https://lod.enslaved.org/wiki/Q491624	Q491624	Prince Whipple	HC-PER-34782
Robert_Blake_(Medal_of_Honor).txt	x	https://lod.enslaved.org/wiki/Q619660	Q619660	Robert Blake Foster or Forster	LBS-PER-2146654037
Salem_Poor.txt	x	https://lod.enslaved.org/wiki/Q491288	Q491288	Salem Poor	HC-PER-37670
Samuel_Green_(freedman).txt	x	https://lod.enslaved.org/wiki/Q490845	Q490845	Samuel Green Jr	HC-PER-39267
Samuel_Ringgold_Ward.txt	x	https://lod.enslaved.org/wiki/Q491572	Q491572	Samuel Ringgold Ward	HC-PER-35415
Scipio_Moorhead.txt	x	https://lod.enslaved.org/wiki/Q491193	Q491193	Scipio Moorhead	HC-PER-37545
Seymour_Burr.txt	x	https://lod.enslaved.org/wiki/Q490536	Q490536	Seymour Burr	HC-PER-77918
Shadrach_Minkins.txt	x	https://lod.enslaved.org/wiki/Q491188	Q491188	Shadrach Minkins	HC-PER-35840
Sojourner_Truth.txt	x	https://lod.enslaved.org/wiki/Q491531	Q491531	Sojourner Truth	HC-PER-34750
Solomon_Bayley.txt	x	https://lod.enslaved.org/wiki/Q490443	Q490443	Solomon Bayley	HC-PER-34225
Stephen_Bishop_(cave_explorer).txt	x	https://lod.enslaved.org/wiki/Q490456	Q490456	Stephen Bishop	HC-PER-36200
Thomas_Fuller_(mental_calculator).txt	x	https://lod.enslaved.org/wiki/Q490828	Q490828	Thomas Fuller	HC-PER-34897
Thomas_Peters_(revolutionary).txt	c	https://lod.enslaved.org/wiki/Q491307	Q491307	Thomas Peters	HC-PER-37638
Thomas_Sims.txt	x	https://lod.enslaved.org/wiki/Q491415	Q491415	Thomas Sims	HC-PER-38518
Ukawsaw_Gronniosaw.txt	x	https://lod.enslaved.org/wiki/Q490907	Q490907	James Albert Ukawsaw Gronniosaw	HC-PER-34427
Venture_Smith.txt	x	https://lod.enslaved.org/wiki/Q491453	Q491453	Venture Smith	HC-PER-35484
William_Ellison.txt	x	https://lod.enslaved.org/wiki/Q490790	Q490790	William Ellison	HC-PER-36772
William_Green_(former_slave).txt	x	https://lod.enslaved.org/wiki/Q617949	Q617949	William Green Fleming	LBS-PER-2146650429
William_Grimes_(ex-slave).txt	x	https://lod.enslaved.org/wiki/Q490861	Q490861	William Grimes	HC-PER-34422
William_Harvey_Carney.txt	x	https://lod.enslaved.org/wiki/Q490569	Q490569	William Harvey Carney	HC-PER-35042
William_Henry_Singleton.txt	x	https://lod.enslaved.org/wiki/Q491431	Q491431	William Henry Singleton	HC-PER-35948
William_Lee_(valet).txt	x	https://lod.enslaved.org/wiki/Q491106	Q491106	William Lee	HC-PER-37342
William_Wells_Brown.txt	x	https://lod.enslaved.org/wiki/Q490547	Q490547	William Wells Brown	HC-PER-34269
