Name	Status	URL	QID	Name	Identifier
Harriet_Jacobs.txt	x	https://lod.enslaved.org/wiki/Q490972	Q490972	Harriet Ann Jacobs	HC-PER-34481
Harriet_Powers.txt	x	https://lod.enslaved.org/wiki/Q491299	Q491299	Harriet Powers	HC-PER-37678
Harriet_Tubman.txt	x	https://lod.enslaved.org/wiki/Q491539	Q491539	Harriet Ross Tubman	HC-PER-34751
Harry_Washington.txt	x	https://lod.enslaved.org/wiki/Q491594	Q491594	Harry Washington	HC-PER-36591
Henry_Bibb.txt	x	https://lod.enslaved.org/wiki/Q490462	Q490462	Henry Walton Bibb	HC-PER-34239
Henry_Box_Brown.txt	x	https://lod.enslaved.org/wiki/Q490515	Q490515	Henry Box Brown	HC-PER-34263
Henry_Highland_Garnet.txt	x	https://lod.enslaved.org/wiki/Q490831	Q490831	Henry Highland Garnet	HC-PER-34403
Israel_Jefferson.txt					
Jack_Gladstone.txt					
James_Hemings.txt					
James_Poovey.txt					
James_Roberts_(slave_narrative).txt		https://lod.enslaved.org/wiki/Q1065538	Q1065538	James Roberts Jr	LVA-PER-ENS.1138011._0002_0004_0001-0020.JamesRobertsJr.02077
James_Roberts_(slave_narrative).txt		https://lod.enslaved.org/wiki/Q1066658	Q1066658	James Roberts Sr	LVA-PER-ENS.1138011._0002_0006_0001-0006.JamesRobertsSr.03197
Jane_Johnson_(slave).txt	c	https://lod.enslaved.org/wiki/Q491028	Q491028	Jane Johnson Tenison	LBS-PER-24102
Jared_Maurice_Arter.txt					
Jehu_Grant.txt					
Jermain_Wesley_Loguen.txt	x	https://lod.enslaved.org/wiki/Q491095	Q491095	Jermain Wesley Loguen	HC-PER-34553
John_Andrew_Jackson.txt					
John_Casor.txt					
John_Ezzidio.txt					
John_Jea.txt	x	https://lod.enslaved.org/wiki/Q490991	Q490991	John Jea	HC-PER-35768
John_Punch_(slave).txt					
Jordan_Winston_Early.txt	x	https://lod.enslaved.org/wiki/Q490753	Q490753	Jordan Winston Early	HC-PER-35611
Joseph_Antonio_Emidy.txt					
Joseph_Knight_(slave).txt					
Joseph_Pitts_(author).txt					
Joshua_Glover.txt					
Josiah_Henson.txt	x	https://lod.enslaved.org/wiki/Q490945	Q490945	Josiah Henson	HC-PER-34450
Juan_Francisco_Manzano.txt					
Julius_Soubise.txt					
Jupiter_Hammon.txt	x	https://lod.enslaved.org/wiki/Q490893	Q490893	Jupiter Hammon	HC-PER-34432
Kate_Drumgoold.txt	x	https://lod.enslaved.org/wiki/Q490728	Q490728	Kate Drumgoold	HC-PER-36449
Leonard_Black.txt	x	https://lod.enslaved.org/wiki/Q490452	Q490452	Leonard Black	HC-PER-35464
Lewis_Adams.txt					
Lewis_Hayden.txt	x	https://lod.enslaved.org/wiki/Q490895	Q490895	Lewis Hayden	HC-PER-34914
Lott_Cary.txt	x	https://lod.enslaved.org/wiki/Q490588	Q490588	Lott Cary	HC-PER-34291
Lucinda_Davis.txt		https://lod.enslaved.org/wiki/Q1058770	Q1058770	Lucinda Davis	LVA-PER-ENS.1082990._0008_0003_0001-0017.LucindaDavis.03959
Lucinda_Davis.txt		https://lod.enslaved.org/wiki/Q619337	Q619337	Lucinda Davis Corr	LBS-PER-2146653457
Madison_Hemings.txt	x	https://lod.enslaved.org/wiki/Q1052317	Q1052317	Madison Hemings	LVA-PER-ENS.1082990._0006_0001_0001-0010.MadisonHemings.00644
Mahommah_Gardo_Baquaqua.txt	x	https://lod.enslaved.org/wiki/Q490433	Q490433	Mahommah Gardo Baquaqua	HC-PER-36138
Marguerite_Scypion.txt					
Mary_Black_(Salem_witch_trials).txt					
Mary_Fields.txt		https://lod.enslaved.org/wiki/Q1117046	Q1117046	Mary Fields	LVA-PER-ENS.1138047._0001_0001_0001-0002.MaryFields.53460
Mary_Fields.txt		https://lod.enslaved.org/wiki/Q1117093	Q1117093	Mary Fields	LVA-PER-ENS.1138047._0001_0001_0001-0002.MaryFields.53457
Matilda_McCrear.txt					
Michael_Shiner.txt					
Moses_Grandy.txt	x	https://lod.enslaved.org/wiki/Q490849	Q490849	Moses Grandy	HC-PER-35670
Moses_Roper.txt	x	https://lod.enslaved.org/wiki/Q491388	Q491388	Moses Roper	HC-PER-34683
Nathaniel_Booth_(slave).txt					
Nero_Hawley.txt					
Olaudah_Equiano.txt	x	https://lod.enslaved.org/wiki/Q490756	Q490756	Olaudah Equiano	HC-PER-34374
Omar_ibn_Said.txt					
Onesimus_(Bostonian).txt					
Oney_Judge.txt					
Osifekunde.txt					
Ottobah_Cugoano.txt					
Owen_Fitzpen.txt					
Patrick_Francis_Healy.txt	x	https://lod.enslaved.org/wiki/Q490877	Q490877	Patrick Francis Healy	HC-PER-34445
Pierre_Toussaint.txt		https://lod.enslaved.org/wiki/Q491519	Q491519	Pierre Toussaint	HC-PER-35004
Pierre_Toussaint.txt		https://lod.enslaved.org/wiki/Q592847	Q592847	Pierre Toussaint Maya	LBS-PER-2146005131
Polly_Berry.txt	x	https://lod.enslaved.org/wiki/Q490448	Q490448	Polly Berry	HC-PER-39701
Prince_Estabrook.txt	x	https://lod.enslaved.org/wiki/Q490761	Q490761	Prince Estabrook	HC-PER-36452
Prince_Whipple.txt	x	https://lod.enslaved.org/wiki/Q491624	Q491624	Prince Whipple	HC-PER-34782
Quock_Walker.txt					
Redoshi.txt					
Remigio_Herrera.txt					
Robert_Blake_(Medal_of_Honor).txt	x	https://lod.enslaved.org/wiki/Q619660	Q619660	Robert Blake Foster or Forster	LBS-PER-2146654037
Robert_Drury_(sailor).txt					
Salem_Poor.txt	x	https://lod.enslaved.org/wiki/Q491288	Q491288	Salem Poor	HC-PER-37670
Sally_Miller.txt					
Sam_Aleckson.txt					
Samuel_Benedict.txt					
Samuel_Green_(freedman).txt	x	https://lod.enslaved.org/wiki/Q490845	Q490845	Samuel Green Jr	HC-PER-39267
Samuel_Ringgold_Ward.txt	x	https://lod.enslaved.org/wiki/Q491572	Q491572	Samuel Ringgold Ward	HC-PER-35415
Scipio_Africanus_(slave).txt	nm	https://lod.enslaved.org/wiki/Q491067	Q491067	Scipio Africanus Jones	HC-PER-34510
Scipio_Moorhead.txt	x	https://lod.enslaved.org/wiki/Q491193	Q491193	Scipio Moorhead	HC-PER-37545
Seymour_Burr.txt	x	https://lod.enslaved.org/wiki/Q490536	Q490536	Seymour Burr	HC-PER-77918
Shadrach_Minkins.txt	x	https://lod.enslaved.org/wiki/Q491188	Q491188	Shadrach Minkins	HC-PER-35840
Silas_Chandler.txt					
Sojourner_Truth.txt	x	https://lod.enslaved.org/wiki/Q491531	Q491531	Sojourner Truth	HC-PER-34750
Solomon_Bayley.txt	x	https://lod.enslaved.org/wiki/Q490443	Q490443	Solomon Bayley	HC-PER-34225
Stephen_Bishop_(cave_explorer).txt					
Thomas_Fuller_(mental_calculator).txt		https://lod.enslaved.org/wiki/Q618741	Q618741	Thomas Fuller Roberts	LBS-PER-2146652139
Thomas_Fuller_(mental_calculator).txt		https://lod.enslaved.org/wiki/Q615623	Q615623	Thomas Fuller of London	LBS-PER-2146645679
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q609461	Q609461	Thomas James Alexander Brown Fairbairn	LBS-PER-2146631994
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q577875	Q577875	Thomas James Bernard of Bernards Lodge	LBS-PER-20012
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q618764	Q618764	Thomas James Bernard of St James Jamaica	LBS-PER-2146652279
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q610432	Q610432	Thomas James Brown	LBS-PER-2146634234
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q567702	Q567702	Thomas James Claxton	LBS-PER-7771
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q610859	Q610859	Thomas James Hall	LBS-PER-2146635198
Thomas_James_(minister).txt		https://lod.enslaved.org/wiki/Q587202	Q587202	Thomas James Thompson	LBS-PER-42840
Thomas_Pellow.txt					
Thomas_Peters_(revolutionary).txt	c	https://lod.enslaved.org/wiki/Q491307	Q491307	Thomas Peters	HC-PER-37638
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232189	Q232189	Thomas Sims	SV-PER-17537O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232241	Q232241	Thomas Sims	SV-PER-17563O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232338	Q232338	Thomas Sims	SV-PER-17622O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232346	Q232346	Thomas Sims	SV-PER-17620O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232348	Q232348	Thomas Sims	SV-PER-17627O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232396	Q232396	Thomas Sims	SV-PER-17661O1
Thomas_Sims.txt		https://lod.enslaved.org/wiki/Q232526	Q232526	Thomas Sims	SV-PER-17761O1
Titus_Kent.txt					
Ukawsaw_Gronniosaw.txt					
Venture_Smith.txt	x	https://lod.enslaved.org/wiki/Q491453	Q491453	Venture Smith	HC-PER-35484
Wallace_Turnage.txt					
William_Ansah_Sessarakoo.txt					
William_Dorsey_Swann.txt					
William_Ellison.txt	x	https://lod.enslaved.org/wiki/Q490790	Q490790	William Ellison	HC-PER-36772
William_Gardner_(former_slave).txt		https://lod.enslaved.org/wiki/Q579876	Q579876	William Gardner Burn	LBS-PER-22615
William_Gardner_(former_slave).txt		https://lod.enslaved.org/wiki/Q154182	Q154182	William Gardner Voyage	SV-EVE-VOY-39044
William_Green_(former_slave).txt	x	https://lod.enslaved.org/wiki/Q617949	Q617949	William Green Fleming	LBS-PER-2146650429
William_Grimes_(ex-slave).txt					
William_Harvey_Carney.txt	x	https://lod.enslaved.org/wiki/Q490569	Q490569	William Harvey Carney	HC-PER-35042
William_Henry_Singleton.txt	x	https://lod.enslaved.org/wiki/Q491431	Q491431	William Henry Singleton	HC-PER-35948
William_Lee_(valet).txt		https://lod.enslaved.org/wiki/Q1052598	Q1052598	William Lee Jones	LVA-PER-ENS.7652814._0001_0001_0001-0010.WilliamLeeJones.09340
William_Lee_(valet).txt		https://lod.enslaved.org/wiki/Q864411	Q864411	William Lee Straws	TTIF-PER-I0106
William_Wells_Brown.txt	x	https://lod.enslaved.org/wiki/Q490547	Q490547	William Wells Brown	HC-PER-34269
Zamba_Zembola.txt					
